text,label,scenario_type,channel,speaker_role_pattern,fraud_stage,has_code_request,has_money_transfer_request,has_urgency,has_threat,has_authority_impersonation,has_sensitive_data_request,has_remote_access_request,victim_confused_or_resisting,risk_markers_count
аренда завершена Стоимость поездки,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша карта заблокирована по подозрению в мошенничестве Разблокируйте назвав CVV код,fraud,generic_fraud,sms,single_message,data_request,0,0,0,1,0,1,0,0,2
Долг за воду Оплатите до иначе отключение,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Срочно оплатите задолженность за иначе отключим газ,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
не может найти ваш адрес Подтвердите доставку доплатив,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Розыгрыш завершен Ваш выигрыш составляет Подтвердите получение по номеру карты,fraud,generic_fraud,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Проблема по заявке решена Оцените качество работы специалиста,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Рейс SU задерживается на минут,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Напоминание задолженность Погасите для избежания блокировки,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Код авторизации для подтверждения платежа на сумму,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваши счета под следствием Переведите на защищенный счет для сохранности,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Ваше обращение принято Ответим в течение часов,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
подано Водитель Михаил авто белый время подачи мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Тариф изменен на Премиум Стоимость с,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Платеж на сумму успешно проведен в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Занятие по английский в переносится на,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Техработы с до Возможны кратковременные перебои связи,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Совещание завтра в в конференц зале Подготовьте отчет по проекту,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш паспорт недействителен Восстановите через портал оплатив,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,1,0,0,2
Квитанция за февраль готова Сумма к оплате,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Мама у меня проблемы срочно нужны деньги Переведи на номер карты,fraud,relative_in_trouble,sms,single_message,transfer_request,0,1,1,0,0,1,0,0,3
Результаты анализов готовы Заберите в регистратуре с до,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
У вас обнаружено заболевание Необходимо срочное лечение за,fraud,generic_fraud,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
Ваш код подтверждения Никому его не сообщайте,normal,benign_service,sms,single_message,benign,1,0,0,0,0,0,0,0,1
Результаты анализов готовы Заберите в регистратуре с до Хорошего дня,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заказ оформлен на сумму Доставка с до,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш аккаунт взломан Восстановление за Времени мало,fraud,generic_fraud,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
Ваша дочь задержана Для освобождения нужно,fraud,generic_fraud,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
ВНИМАНИЕ Вы стали победителем акции Приз Оплатите налог для получения,fraud,government_or_police,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код Это срочно,fraud,sim_block,sms,single_message,data_request,1,0,1,1,0,0,0,0,3
Код подтверждения для входа в Онлайн Никому не сообщайте,normal,benign_service,sms,single_message,benign,1,0,0,0,0,0,0,0,1
Ваш аккаунт взломан Восстановление за,fraud,generic_fraud,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Ваши счета под следствием Переведите деньги на защищенный счет,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Перевод на карту выполнен успешно,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
ВНИМАНИЕ Срочно оплатите задолженность за иначе отключим газ,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Ваши документы используются мошенниками Переведите деньги на безопасный счет,fraud,safe_account,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Плановое обслуживание сети с до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
доставки Посылка задержана на таможне Доплата для освобождения,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Квитанция за май готова Сумма к оплате Спасибо за обращение,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Звоню из ваш номер будет отключен завтра Для сохранения услуг продиктуйте код,fraud,generic_fraud,sms,single_message,hook,1,0,0,1,0,0,0,0,2
Вы стали победителем акции Приз Оплатите налог для получения,fraud,government_or_police,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Остаток по тарифу интернет ГБ минуты мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заочное решение о взыскании Отмените оплатив госпошлину Не откладывайте,fraud,delivery_fee,sms,single_message,transfer_request,0,1,1,1,0,0,0,0,3
Командировка в Санкт с Билеты и гостиница забронированы,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Напоминание запись к врачу в кабинет,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
подано Водитель Иван авто серый время подачи мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте Для продления сим карты нужны ваши данные паспорта,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,1,0,0,1
С вашей карты списали Если это не вы назовите код,fraud,generic_fraud,sms,single_message,data_request,1,0,0,0,0,0,0,0,1
Покупка в на сумму Доступный лимит С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Результаты экзамена опубликованы Проверьте в личном кабинете,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Мама у меня проблемы срочно нужны деньги Переведи на этот номер карты,fraud,relative_in_trouble,sms,single_message,transfer_request,0,1,1,0,0,1,0,0,3
Техобслуживание сети с до Возможны кратковременные перебои,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Лекция Квантовая физика состоится в аудитории Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Срочно оплатите задолженность за иначе отключим газ Не откладывайте,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Платеж на сумму успешно проведен в С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Тариф изменен на Бизнес Стоимость с,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Обновление системы завершено Новые функции доступны в личном кабинете,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Посылка прибыла в пункт выдачи Заберите до Код получения,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Подписка на интернет продлена до Следующее списание,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Встреча с клиентом перенесена на понедельник Подготовьте презентацию,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Саша документы готовы Заберите в офисе с до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Срок сим карты истек для восстановления услуг продиктуйте пароль,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Занятие по математика в переносится на,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Папа это я Никита Попал в аварию нужны деньги на ремонт,fraud,relative_in_trouble,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Услуга интернет подключена Абонентская плата,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
ВНИМАНИЕ На вашем счету подозрительная операция на Подтвердите что это вы,fraud,generic_fraud,sms,single_message,hook,0,0,0,1,0,0,0,0,1
ВНИМАНИЕ Ваш аккаунт взломан Восстановление за,fraud,generic_fraud,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Подтверждение операции Код Если это не вы обратитесь в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Отпуск с согласован Приказ будет готов до конца недели,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Посылка не доставлена требуется доплата Оплатите по ссылке,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Штраф за превышение скорости Оплатите со скидкой до,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Зарплата за апрель поступила на карту Сумма,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заказ готов к выдаче в пункте самовывоза Режим работы,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заказ оформлен на сумму Доставка с до С уважением поддержки,normal,delivery_fee,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Покупка в на сумму Доступный лимит Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Папа это я Максим Попал в аварию нужны деньги на ремонт,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Домофон временно не работает Ремонт с до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша посылка задержана необходима доплата за хранение,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
SMS код для подтверждения Срок действия мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
ВНИМАНИЕ Ваш компьютер заражен вирусами Оплатите очистку,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Справка готова Получите в регистратуре предъявив паспорт Спасибо за обращение,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,1,0,0,1
Справка готова Получите в регистратуре предъявив паспорт Хорошего дня,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,1,0,0,1
Елена Для безопасности SIM карты сообщите код из СМС,fraud,sim_block,sms,single_message,data_request,1,0,0,0,0,0,0,0,1
Показания счетчиков приняты К доплате до,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Роуминг активирован Стоимость интернет звонки Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Прием у кардиолог отменен Перенесли на в Подтвердите пожалуйста,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Обновление системы завершено Новые функции доступны в личном кабинете С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
доставки Посылка задержана на таможне Доплата для освобождения Не откладывайте,fraud,delivery_fee,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Задолженность за электричество Оплатите срочно,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Против вас возбуждено дело Избежите ареста оплатив залог Времени мало,fraud,government_or_police,sms,single_message,transfer_request,0,1,1,1,0,0,0,0,3
Прием у невролог отменен Перенесли на в Подтвердите пожалуйста,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте я звоню из тех поддержки компании у вас истекает срок сим карты вы хотите продлить,fraud,sim_block,sms,single_message,unknown,0,0,0,0,1,0,0,0,1
Услуга мобильная связь подключена Абонентская плата,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
ВНИМАНИЕ Ваши активы будут арестованы Сохраните их переведя на спецсчет,fraud,safe_account,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Зарплата за март поступила на карту Сумма,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Встреча с клиентом перенесена на в Место ул Молодежная,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Прием у окулист отменен Перенесли на в Подтвердите пожалуйста,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Командировка в с Билеты и гостиница забронированы,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш счет будет заморожен через час Предотвратите блокировку сообщив код Не откладывайте,fraud,generic_fraud,sms,single_message,unknown,0,0,1,0,0,0,0,0,1
подано Водитель Михаил авто серый время подачи мин Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Автоплатеж за будет списан,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
У вас заказная посылка Доплатите для получения,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Автоплатеж за интернет будет списан,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Код авторизации для подтверждения платежа на сумму Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Квитанция за март готова Сумма к оплате С уважением поддержки,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,1,0,0,0,2
Отпуск с согласован Приказ будет готов до конца недели С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа Не откладывайте,fraud,generic_fraud,sms,single_message,data_request,1,0,1,0,0,0,0,0,2
Против вас возбуждено дело Избежите ареста оплатив залог,fraud,government_or_police,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Против вас возбуждено дело Избежите ареста оплатив залог Не откладывайте,fraud,government_or_police,sms,single_message,transfer_request,0,1,1,1,0,0,0,0,3
Подписка на мобильная связь продлена до Следующее списание,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш номер заблокируют за неактивность Активируйте кодом Времени мало,fraud,generic_fraud,sms,single_message,pressure,0,0,1,1,0,0,0,0,2
ВНИМАНИЕ Бабушка это внук Помоги деньгами верну завтра,fraud,relative_in_trouble,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Платеж по карте на сумму в магазине успешно проведен,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш заказ доставлен по адресу ул Советская Спасибо за покупку,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Пополнение счета на Текущий баланс,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
На вашем счету подозрительная операция на Подтвердите что это вы Не откладывайте,fraud,generic_fraud,sms,single_message,hook,0,0,1,1,0,0,0,0,2
Встреча с клиентом перенесена на в Место пр Победы,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Код для входа в личный кабинет Действителен минут С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Код для входа в личный кабинет Действителен минут,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
не может найти ваш адрес Подтвердите доставку доплатив Времени мало,fraud,delivery_fee,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Лекция История состоится в аудитории,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Задолженность Избежите штрафа при оплате до,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Срок действия вашей SIM истекает сегодня Подтвердите продление кодом,fraud,sim_block,sms,single_message,unknown,0,0,1,0,0,0,0,0,1
Ваш код подтверждения Никому его не сообщайте Спасибо за обращение,normal,benign_service,sms,single_message,benign,1,0,0,0,0,0,0,0,1
Одноразовый пароль Используйте для входа в систему,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Подписка на продлена до Следующее списание,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваше обращение принято Ответим в течение часов Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Напоминание запись к врачу в кабинет Хорошего дня,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Снятие наличных в банкомате Комиссия Спасибо за обращение,normal,bank_impersonation,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Ваш интернет будет отключен за нарушения Оплатите штраф Времени мало,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,1,0,0,0,0,3
Вы выиграли в лотерею от один миллион Для получения приза нужно оплатить налог,fraud,government_or_police,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Зачет по физика назначен на в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш счет будет заморожен через час Предотвратите блокировку сообщив код,fraud,generic_fraud,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Занятие по история в переносится на,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Отключение горячей воды с по в связи с плановым ремонтом Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,1,0,0,0,0,1
Техработы с до Возможны кратковременные перебои связи Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Снятие наличных в банкомате Комиссия,normal,bank_impersonation,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Тренировка в в отменяется,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Папа это я Артем Попал в аварию нужны деньги на ремонт,fraud,relative_in_trouble,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Услуга подключена Абонентская плата,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Лотерея вы выиграли автомобиль стоимостью Оплатите оформление,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Встреча с клиентом перенесена на в Место ул Советская,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Трек номер вашей посылки RF Статус в пути прибытие,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваши анализы показали серьезные проблемы Срочно запишитесь на платную консультацию за,fraud,medical_or_service,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
Занятие по история в переносится на Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Абонемент в продлен до Стоимость,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Задолженность за электричество Оплатите срочно Времени мало,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Ваш интернет будет отключен за нарушения Избежать блокировки можно оплатив штраф,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Покупка в на сумму Доступный лимит,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Спасибо за использование услуг Ваш тариф Безлимит активен до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Лекция Основы программирования состоится в аудитории,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Квитанция за март готова Сумма к оплате,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Диспансеризация назначена на в Явка обязательна,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Зачет по математика назначен на в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
в пути с заказом Ожидаемое время доставки Спасибо за обращение,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заказ A доставлен Спасибо за покупку,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Акция завершена Ваш приз Переведите за оформление документов Не откладывайте,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
ВНИМАНИЕ Ваша карта заблокирована по подозрению в мошенничестве Разблокируйте назвав CVV код,fraud,generic_fraud,sms,single_message,data_request,0,0,0,1,0,1,0,0,2
Билеты на выставка забронированы Место ряд С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Фильм Мстители начинается в Зал места,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте я звоню из У вас заблокирована карта по подозрению в мошенничестве,fraud,generic_fraud,sms,single_message,unknown,0,0,0,1,0,0,0,0,1
Папа это я Дима Попал в аварию нужны деньги на ремонт Времени мало,fraud,relative_in_trouble,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
Фильм Человек паук начинается в Зал места,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Остаток по тарифу интернет ГБ минуты мин Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
подано Водитель Андрей авто черный время подачи мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Фильм Аватар начинается в Зал места,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Тариф изменен на Стандарт Стоимость с,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Новые возможности Подключите Видео за,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Зачет по английский назначен на в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Встреча с клиентом перенесена на в Место пр Мира,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Роуминг активирован Тарифы звонки интернет,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте это У вас истекает срок действия SIM карты хотите продлить,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Твойе обращение принято Ответим в течение часов,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш заказ доставлен по адресу ул Ленина Спасибо за покупку Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Занятие по физика в переносится на,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Техработы на линии завтра с до Возможны перебои,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Егор документы готовы Заберите в офисе с до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
ВНИМАНИЕ Заочное решение о взыскании Отмените оплатив госпошлину,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,1,0,0,0,0,2
Квитанция за май готова Сумма к оплате,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Чтобы не потерять номер подтвердите сим карту кодом из СМС,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Билеты на спектакль забронированы Место ряд,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш заказ доставлен по адресу ул Ленина Спасибо за покупку,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Результаты экзамена опубликованы Проверьте в личном кабинете С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа Времени мало,fraud,generic_fraud,sms,single_message,data_request,1,0,1,0,0,0,0,0,2
Ваши анализы показали серьезные проблемы Срочно запишитесь на платную консультацию за Не откладывайте,fraud,medical_or_service,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
ВНИМАНИЕ Задолженность Избежите штрафа при оплате до,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
